FID,ID_PARADA,CODI_PARADA,NOM_PARADA,DESC_PARADA,CODI_INTERC,NOM_INTERC,NOM_TIPUS_PARADA,NOM_TIPUS_SIMPLE_PARADA,DESC_TIPUS_PARADA,TIPIFICACIO_PARADA,ADRECA,ID_POBLACIO,NOM_POBLACIO,ID_DISTRICTE,NOM_DISTRICTE,DATA,NOM_VIA,NOM_PROPERA_VIA,GEOMETRY,PUNTS_PARADA
PARADES_ACTIVES.685394,685394,3177,Ramon Miquel Planas - Major de Sarrià,Ramon Miquel i Planas/Major de Sarrià,0,,PALFIX,Pal,Parada Palfix,N,"Ramon Miquel I Planas, 1-3",748,Barcelona,625,Sarrià-St. Gervasi,2024-12-06,Carrer de Ramon Miquel i Planas,Carrer Major de Sarrià,POINT (2.1202341408408905 41.40093323425315),1
PARADES_ACTIVES.685410,685410,3178,Clos de St Francesc- Pg Reina Elisenda de Montcada,Clos de Sant Francesc/Negrevernís,0,,PALFIX,Pal,Parada Palfix,N,"Clos De Sant Francesc,  51",748,Barcelona,625,Sarrià-St. Gervasi,2024-12-06,Carrer del Clos de Sant Francesc,Carrer de Negrevernís,POINT (2.120568270866038 41.39932622942131),1
PARADES_ACTIVES.697644,697644,3180,Teide - Fabra i Puig,Teide/Vilapicina,0,,PALFIX,Pal,Parada Palfix,N,"Teide, 9 ",748,Barcelona,628,Nou Barris,2024-12-06,Carrer del Teide,Carrer de Vilapicina,POINT (2.1691407253801507 41.430155416993635),1
PARADES_ACTIVES.685426,685426,3181,Via Favència - Rda de Dalt,Favència/Palamós,0,,PALFIX,Pal,Parada Palfix,N,"Favència,  343-349",748,Barcelona,628,Nou Barris,2024-12-06,Via Favència,Carrer de Palamós,POINT (2.1852591834277413 41.446931954396824),1
PARADES_ACTIVES.685437,685437,3182,Av Catalunya - Frederic Mompou,Catalunya/Palamós,0,,PALFIX,Pal,Parada Palfix,N,"Catalunya, s/n",754,Montcada i Reixac,0,,2024-12-06,Avinguda de Catalunya,Carrer de Palamós,POINT (2.1847238205953152 41.49852813846757),1
PARADES_ACTIVES.695661,695661,3189,Ronda de Dalt - Pl de la Central,Isaac Newton/Tibidabo,108,Isaac Newton/Av.Tibidabo,NOU4MS,Marquesina,Nova Marq. Pal·li Simple,NXB,"Isaac Newton, 40 ",748,Barcelona,625,Sarrià-St. Gervasi,2024-12-06,Carrer de Isaac Newton,Avinguda del Tibidabo,POINT (2.133410735783653 41.41436629507455),1
PARADES_ACTIVES.685783,685783,3190,Pujades - Roc Boronat,Pujades/Llacuna,0,,PALFIX,Pal,Parada Palfix,N,"Pujades, 141-143 ",748,Barcelona,621,Sant Martí,2024-12-06,Carrer de Pujades,Carrer de la Llacuna,POINT (2.1988567657175837 41.40035535344428),1
PARADES_ACTIVES.685798,685798,3191,Josep Maria Lledó - Bellesguard,Josep Maria Lladó/Dalt,0,,PALFIX,Pal,Parada Palfix,N,"Josep Maria Lladó, 1-11 ",748,Barcelona,625,Sarrià-St. Gervasi,2024-12-06,Carrer de Josep Maria Lladó,Ronda de Dalt,POINT (2.1248288874066703 41.410789648462696),1
PARADES_ACTIVES.693052,693052,3197,Zona càrrega,Estel Polar/Josep Canudas i Busquets,0,,PALFIX,Pal,Parada Palfix,N,"Sense Nom 5, s/n ",750,El Prat de Llobregat,0,,2024-12-06,Carrer Sense nom 5,Carretera al Aeroport,POINT (2.0680908645454172 41.30154829231922),1
PARADES_ACTIVES.685828,685828,3203,Renaixença - Vinya,Renaixença/Escornalbou,0,,PALFIX,Pal,Parada Palfix,N,"Renaixença, 51-53",748,Barcelona,627,Horta-Guinardó,2024-12-06,Carrer de la Renaixença,Carrer d'Escornalbou,POINT (2.1771648424650314 41.41811253941214),1
PARADES_ACTIVES.685832,685832,3204,Villar - Xiprer,Xiprer/Villar,0,,PALFIX,Pal,Parada Palfix,N,"Villar, 47",748,Barcelona,627,Horta-Guinardó,2024-12-06,Carrer de Villar,Carrer del Xiprer,POINT (2.1780310870865467 41.416985409844685),1
PARADES_ACTIVES.685830,685830,3205,Xiprer - Vinya,Xiprer/Llívia,0,,PALFIX,Pal,Parada Palfix,N,"Xiprer, 34",748,Barcelona,627,Horta-Guinardó,2024-12-06,Carrer del Xiprer,Carrer de Llívia,POINT (2.1790039465599396 41.41797813930722),1
PARADES_ACTIVES.693330,693330,3207,Peníscola - Ausona,Peníscola/Finestrelles,0,,PALFIX,Pal,Parada Palfix,N,"Peniscola, 14 ",748,Barcelona,629,Sant Andreu,2024-12-06,Carrer de Peniscola,Carrer de Finestrelles,POINT (2.1905514087480307 41.45337137921504),1
