stop_id,stop_name,coordinates
313,Pg de Gràcia - Gran Via,POINT (2.1675597230080714 41.39013837146819)
314,Calàbria - Gran Via,POINT (2.154743633869562 41.3799794417631)
315,Pg de Sant Joan - Diputació,POINT (2.174670985042732 41.39541858952158)
316,Aribau - Gran Via,POINT (2.1625333895593064 41.38604187818845)
317,Pl Tetuan - Pg de Sant Joan,POINT (2.175272254367767 41.39547107432221)
319,Entença - Gran Via,POINT (2.1523504362142756 41.37837449865167)
320,Tarragona - Parc de Joan Miró,POINT (2.1474194306798724 41.37670363586692)
321,Llúria - Gran Via,POINT (2.170422578715327 41.392008906298734)
324,Can Rigal,POINT (2.1059882586664886 41.37596606229543)
327,Pare Manyanet - Virgili,POINT (2.1942574495240863 41.42815350805647)
328,Meridiana - Pegaso,POINT (2.1864904397446225 41.42540121193809)
329,Sant Adrià Centre,POINT (2.215877404945517 41.43280263432887)
330,Pg de Santa Eulàlia - Can Caralleu,POINT (2.115348556776733 41.403827450717856)
334,Av Granvia - Ctra Antiga del Prat,POINT (2.113360458314216 41.34744805584784)
335,Gran Capità - Av de l'Exèrcit,POINT (2.111588511477754 41.386981508109606)
336,Balmes - Via Augusta,POINT (2.1478879565483795 41.40085955394498)
337,València - Muntanya,POINT (2.1880891817884955 41.411225751493646)
342,Cementiri de l'Est,POINT (2.2023881169071475 41.39427505931349)
343,Pl de Sant Jordi,POINT (2.1447523078622135 41.36632819736415)
344,Piscines Picornell - Museu Nacional,POINT (2.151358429021537 41.36647227685463)
345,Av de l'Estadi - Estadi Olímpic,POINT (2.154544078115825 41.366001877659464)
346,Estadi Olímpic,POINT (2.155317209376438 41.3661644082844)
347,Piscines Picornell - Museu Nacional,POINT (2.1517179791373753 41.3665395369425)
348,Av Estadi - INEFC,POINT (2.1473729789724305 41.3654771850764)
349,Av Estadi - INEFC,POINT (2.1468070800381804 41.36553004784397)
350,Av de Vallcarca - Baixada de la Glòria,POINT (2.147010046897523 41.410384849841854)
352,Av de Sant Ildefons - Cirerer,POINT (2.083071394358328 41.36551197145689)
353,Av del Parc - Pl Catalunya,POINT (2.0772409767321958 41.35965519809233)
354,Av del Parc - Ptge de Les Delícies,POINT (2.0749447766033264 41.35939115081852)
355,Av del Parc - Mossèn Joaquim Palet,POINT (2.0729409555555107 41.359194453818965)
357,Av dels Alps - Tanatori,POINT (2.0782267849641363 41.35504602195419)
358,Av dels Alps - Ctra d'Esplugues,POINT (2.073255295413291 41.356433159727715)
360,Sant Adrià - Formiga,POINT (2.2016278108877305 41.43579291761533)
362,Meridiana - Escòcia,POINT (2.183647817204368 41.42914260999609)
363,Felip II - Pl del Congrés,POINT (2.179847427821755 41.42588693035967)
364,Felip II - Arnau d'Oms,POINT (2.1780644134643707 41.42724742184073)
365,Lletres - Dante Alighieri,POINT (2.157914731205191 41.42793631945286)
366,Pl de l'Estatut,POINT (2.1552546020433563 41.430511453563)
368,Trav de Dalt - Torrent de les Flors,POINT (2.156636471251891 41.41046033286888)
369,Pi i Margall - Escorial,POINT (2.1630642219955196 41.406304198082815)
370,Pg Maragall - Amílcar,POINT (2.173042303782484 41.42639686587039)
371,Pg Maragall - Sabastida,POINT (2.168463480943511 41.42747931420053)
372,Av Catalunya - Àngel Guimerà,POINT (2.1834026733918477 41.49607424276393)
373,Diagonal - Entença,POINT (2.136404968709691 41.39033952703829)
374,Ctra d'Horta - Pg de Valldaura,POINT (2.1535590002363474 41.43727439560509)
375,Josep Tarradellas - Av Sarrià,POINT (2.1431363145455418 41.38950735437431)
376,Les Corts - Pl Dr Ignasi Barraquer,POINT (2.1406341529916704 41.39011493859724)
377,Paral·lel - Rocafort,POINT (2.159399896545658 41.375107903427676)
378,Av de Roma - Entença,POINT (2.1462743177811294 41.38201347784519)
380,València - Entença,POINT (2.147948033000961 41.38104836638838)
381,Clot - Biscaia,POINT (2.190630852266588 41.41398766289776)
382,Pujades - Espronceda,POINT (2.2056994726907964 41.405582544964766)
383,Gran Via - Espronceda,POINT (2.1976434338842314 41.41167723708248)
385,Gran Via - Bilbao,POINT (2.1947615156026297 41.40904545957009)
387,Mallorca - Clot,POINT (2.1905144555261447 41.41491736111153)
388,Saldes,POINT (2.1345008380638384 41.42894538585113)
389,Pl Espanya - FGC,POINT (2.1485752998966596 41.37429099828108)
391,Metro Hostafrancs,POINT (2.1448947503926994 41.375152771454324)
392,Creu Coberta - Pl Espanya,POINT (2.146854292559836 41.3751197794976)
393,Av Reina Maria Cristina - Pl Espanya,POINT (2.150107241543877 41.37382079705156)
394,Tarragona - Pl Espanya,POINT (2.148726090428939 41.375706361968305)
395,Marquès de Sentmenat - Equador,POINT (2.1415611988808143 41.385421148028996)
396,Berlín - Nicaragua,POINT (2.1407926179235996 41.38412953945026)
397,Josep Tarradellas - Entença,POINT (2.1424772250918944 41.386403185089726)
398,Guipúscoa - Julián Besteiro,POINT (2.1975699607897905 41.416481498483314)
399,Llull - Selva de Mar,POINT (2.210207456068101 41.407024435302276)
400,Hospital Delfos,POINT (2.1429031882257927 41.41342258618342)
402,Dante Alighieri - Santa Joana d'Arc,POINT (2.1601009266326447 41.42845392543716)
406,Pg Valldaura - Rambla Caçador,POINT (2.1734793435791913 41.438630470267846)
407,Av Indústria - Walden,POINT (2.066954373032821 41.3804291034493)
408,CAP Sant Just Desvern,POINT (2.069865762956768 41.382500083536286)
409,Sagrera - Parc de la Pegaso,POINT (2.190915795900879 41.42631742868345)
410,Pl Eivissa - Horta,POINT (2.1611014003642155 41.430482247651135)
411,Tajo - Metro Horta,POINT (2.161084958887907 41.42952076837565)
412,Carles III - Les Corts,POINT (2.1280081714287316 41.38183291201365)
413,Av Litoral - Trelawny,POINT (2.1948428764789902 41.386258266031106)
420,Can Clos,POINT (2.1472940786645003 41.36071205582939)
421,Gran Via - Farell,POINT (2.1449504113704903 41.37199313391623)
422,Via Sant Antoni Abat,POINT (2.1509449741960305 41.356560521051065)
423,Gran Vista - Turó de la Rovira,POINT (2.16400783031781 41.42021202915854)
424,Garriga i Roca - Camil Oliveras,POINT (2.169714381689385 41.42123641293314)
425,Montserrat de Casanovas - Parc del Guinardó,POINT (2.1695161015715536 41.423177382331986)
426,Montserrat de Casanovas - Ptge Pedrell,POINT (2.1679810843551923 41.42400012853796)
427,Pedrell - Canonge Almera,POINT (2.162029299015287 41.42388444634189)
428,Pg Valldaura - Fabra i Puig,POINT (2.1657599110141392 41.43919750861433)
430,Parc Turó de la Peira,POINT (2.1631925463757944 41.433575884641144)
431,Meridiana - Dublín,POINT (2.1851498162902283 41.42745095610532)
432,Meridiana - Parc de Can Dragó,POINT (2.183797636386164 41.43562967187689)
435,Arenys - Rossell,POINT (2.1454770901922626 41.42275972680352)
436,Arenys - Fastenrath,POINT (2.143006034344095 41.42204803817196)
437,Pl del Nen de la Rutlla,POINT (2.1719433461029607 41.418579686178234)
440,Via Júlia - Sant Francesc Xavier,POINT (2.1775847587397834 41.44159450766132)
441,Gran Vista - Pl de la Mitja Lluna,POINT (2.1649188331653675 41.420125751142166)
442,Comte d'Urgell - Floridablanca,POINT (2.160362893174682 41.38088554351013)
444,Entença - Floridablanca,POINT (2.1559561345832017 41.37565041495828)
445,Pedrell - Ptge Gabarnet,POINT (2.158764759629584 41.42312876627903)
446,Montserrat de Casanovas - Pg Font d'En Fargas,POINT (2.1649545509779453 41.42371127298567)
447,Av Mare de Déu de Montserrat - França,POINT (2.1648905222451322 41.41483004180766)
449,Pg Zona Franca - Ctra del Prat,POINT (2.137449741774181 41.36206988023228)
450,Pg Zona Franca - Foneria,POINT (2.1396215998341988 41.359572785034324)
453,Via de Bàrcino - Foradada,POINT (2.1937789788878823 41.45281126863885)
454,Sagrera - Martí Molins,POINT (2.191081975708534 41.423025505742)
455,Meridiana - La Sagrera,POINT (2.1867600066007125 41.42193678232269)
458,Pl Pius XII,POINT (2.1215526289288724 41.38696406737506)
459,Av Mare de Déu de Montserrat - Gènova,POINT (2.1701294690452833 41.41649917715878)
460,Av Mare de Déu de Montserrat - Francesc Alegre,POINT (2.1677304116276956 41.415725611497464)
464,Gran Via - Bac de Roda,POINT (2.1974280704599045 41.4110848905086)
466,Gran Via - Pl dels Porxos,POINT (2.2006175507699233 41.413904845263474)
469,Rambla Prim - Ferrer Bassa,POINT (2.215101994771741 41.41480413859389)
470,Estudis TV3,POINT (2.0686622724643886 41.373478658693756)
471,Aiguablava - Via Favència,POINT (2.1807603749707747 41.44744870922103)
472,Pl Europa - Fira,POINT (2.126403894186807 41.357419096563426)
475,Pg Maragall - Dante Alighieri,POINT (2.1628468340877944 41.42868759202101)
476,Rambla del Carmel,POINT (2.158313466927059 41.42603721120022)
477,Rambla del Carmel - Dante Alighieri,POINT (2.157240845867367 41.42720032553215)
478,Av Vallcarca - Hospital Delfos,POINT (2.1431185625027287 41.41401037760721)
479,Av Madrid - Carles III,POINT (2.1284682666147208 41.378931419093206)
481,Maria Cristina - Carles III,POINT (2.1280282062262184 41.38932613722201)
